epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,610.059,1.18727,5.09737,1.03679,0.01925,0.43979,0.07214,0.05069,0.99892,5.06228,0.93177,9.96351e-05,9.96351e-05,9.96351e-05
2,1148.59,1.14835,3.58766,1.01544,0.77485,0.09546,0.13358,0.10016,1.00438,3.97896,1.00008,0.000198649,0.000198649,0.000198649
3,1736.63,1.10025,3.03188,1.00195,0.66565,0.13166,0.16148,0.11782,0.97761,3.74148,0.96604,0.000295663,0.000295663,0.000295663
4,2312.72,1.07278,2.53698,0.98979,0.50158,0.21394,0.2103,0.15999,0.93052,3.40216,0.96334,0.000294001,0.000294001,0.000294001
5,2938.39,0.98926,2.22316,0.96675,0.74856,0.21732,0.26431,0.19817,0.94559,3.34941,0.98477,0.000291001,0.000291001,0.000291001
6,3532.87,0.97581,2.08035,0.9632,0.41744,0.31998,0.29661,0.22575,0.97686,3.0999,0.97429,0.000288001,0.000288001,0.000288001
7,4171.24,0.94174,1.87802,0.94506,0.52093,0.27605,0.29546,0.23171,0.93541,2.92345,0.96274,0.000285002,0.000285002,0.000285002
8,4748.16,0.96021,1.77982,0.96337,0.6212,0.26683,0.31939,0.24484,0.94415,2.8637,0.97242,0.000282002,0.000282002,0.000282002
9,5498.24,0.96713,1.67745,0.96609,0.51881,0.31174,0.34083,0.26911,0.93861,2.70395,0.96955,0.000279002,0.000279002,0.000279002
10,6415.91,0.9094,1.56263,0.93624,0.46807,0.33101,0.40651,0.30173,0.95633,2.53564,0.97519,0.000276003,0.000276003,0.000276003
11,7039.22,0.89361,1.50903,0.93822,0.42872,0.31441,0.35498,0.27711,0.91524,2.63739,0.94901,0.000273003,0.000273003,0.000273003
12,7813.82,0.90131,1.45144,0.93204,0.51531,0.32528,0.32511,0.25665,0.92562,2.43489,0.94945,0.000270003,0.000270003,0.000270003
13,8607.01,0.89808,1.44879,0.93657,0.59839,0.31756,0.4016,0.31895,0.86737,2.36406,0.94544,0.000267004,0.000267004,0.000267004
14,9342.7,0.88107,1.34261,0.9319,0.64203,0.28082,0.40834,0.31491,0.89254,2.26676,0.943,0.000264004,0.000264004,0.000264004
15,9884.07,0.85678,1.31582,0.92764,0.37916,0.47198,0.45376,0.34705,0.92415,2.40486,0.95605,0.000261004,0.000261004,0.000261004
16,10425.2,0.87617,1.35713,0.9445,0.54897,0.31669,0.43742,0.31772,0.972,2.16032,0.94989,0.000258004,0.000258004,0.000258004
17,10972.4,0.86584,1.22991,0.92366,0.36569,0.40882,0.50019,0.37655,0.87823,2.06379,0.9407,0.000255005,0.000255005,0.000255005
18,11513.2,0.84107,1.28784,0.91168,0.43102,0.43099,0.50706,0.40449,0.88338,2.05137,0.92503,0.000252005,0.000252005,0.000252005
19,12046.7,0.82021,1.1223,0.91657,0.48971,0.47292,0.51752,0.40344,0.86983,1.99861,0.91599,0.000249005,0.000249005,0.000249005
